Surname,Count,Rank,Rate,USRank,USTotal,Source
#Last name / Surname,Number of occurrences among people self-identifying as Asian & Pacific Islander,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as 'Asian & Pacific Islander',U.S. Rank,U.S. total occurrences,https://names.mongabay.com/data/asian_pacific_islander.html Derived from US Census Data
NGUYEN,297503,1,95.90%,57,310125,
LEE,229197,2,37.80%,22,605860,
KIM,183432,3,94.50%,109,194067,
PATEL,132547,4,91.40%,172,145066,
TRAN,130120,5,95.60%,188,136095,
CHEN,100742,6,95.50%,260,105544,
WONG,87962,7,88.50%,277,99392,
LE,73697,8,95.20%,368,77453,
YANG,69017,9,95.00%,397,72627,
WANG,63833,10,94.50%,438,67570,
CHANG,62871,11,90.10%,424,69756,
CHAN,59811,12,91.00%,459,65719,
PHAM,57467,13,95.90%,498,59949,
LI,55729,14,96.40%,519,57786,
PARK,54293,15,66.30%,343,81890,
SINGH,54075,16,74.40%,396,72642,
LIN,46956,17,95.10%,624,49360,
LIU,45501,18,95.50%,650,47665,
WU,43955,19,95.90%,683,45815,
HUANG,43298,20,96.80%,697,44715,
LAM,38824,21,87.50%,706,44385,
HUYNH,38479,22,96.20%,790,40011,
HO,37616,23,93.10%,778,40413,
CHOI,35102,24,96.50%,872,36390,
YU,34913,25,96.20%,874,36285,
SHAH,33217,26,87.80%,831,37833,
CHUNG,33151,27,91.00%,870,36422,
KHAN,32933,28,70.50%,665,46713,
ZHANG,32591,29,98.20%,963,33202,
VANG,30037,30,92.90%,982,32333,
TRUONG,26829,31,96.50%,1157,27808,
NG,25879,32,94.00%,1168,27537,
PHAN,25501,33,94.80%,1193,26903,
LIM,25104,34,91.50%,1170,27433,
XIONG,24940,35,94.70%,1219,26336,
VU,24854,36,96.20%,1247,25828,
CHENG,24743,37,95.10%,1238,26023,
CHO,24184,38,95.60%,1277,25305,
VO,23748,39,95.20%,1296,24956,
TANG,23675,40,93.00%,1269,25446,
NGO,22982,41,95.80%,1355,23980,
CHU,22765,42,93.40%,1328,24381,
LU,21996,43,95.70%,1424,22977,
KANG,21786,44,92.50%,1380,23565,
LY,21730,45,94.50%,1421,22990,
HONG,21147,46,88.10%,1352,24017,
DANG,20660,47,94.10%,1490,21953,
