Surname,Count,Rank,Rate,USRank,USTotal,Source
#Last name / Surname,Number of occurrences among people self-identifying as 'white',Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences,https://names.mongabay.com/data/white.html Derived from US Census Data
SMITH,1742947,1,73.30%,1,2376206,
JOHNSON,1143082,2,61.60%,2,1857160,
MILLER,967768,3,85.80%,6,1127803,
BROWN,837886,4,60.70%,4,1380145,
JONES,786173,5,57.70%,5,1362755,
WILLIAMS,744317,6,48.50%,3,1534042,
DAVIS,694122,7,64.70%,7,1072335,
ANDERSON,591618,8,77.60%,12,762394,
WILSON,545943,9,69.70%,10,783051,
MARTIN,521149,10,77.50%,17,672711,
TAYLOR,488411,11,67.80%,13,720370,
MOORE,481035,12,68.90%,16,698671,
THOMPSON,467038,13,72.50%,19,644368,
WHITE,434295,14,67.90%,20,639515,
CLARK,421367,15,76.80%,25,548369,
THOMAS,394649,16,55.50%,14,710696,
HALL,355697,17,75.10%,30,473568,
BAKER,339279,18,82.10%,38,413351,
NELSON,330984,19,80.30%,40,412236,
ALLEN,325470,20,70.20%,32,463368,
YOUNG,321085,21,68.90%,31,465948,
HARRIS,319800,22,53.90%,24,593542,
KING,319582,23,72.80%,35,438986,
ADAMS,314648,24,76.20%,39,413086,
LEWIS,310904,25,61.00%,26,509930,
WALKER,307051,26,61.30%,28,501307,
WRIGHT,300771,27,68.30%,34,440367,
ROBERTS,291361,28,79.60%,45,366215,
CAMPBELL,284432,29,76.50%,43,371953,
JACKSON,279306,30,41.90%,18,666125,
PHILLIPS,277784,31,79.00%,47,351848,
HILL,275186,32,66.80%,41,411770,
SCOTT,262977,33,62.60%,36,420091,
ROBINSON,258255,34,51.30%,27,503028,
MURPHY,255576,35,85.00%,58,300501,
COOK,246213,36,83.50%,60,294795,
GREEN,245316,37,59.30%,37,413477,
LEE,242889,38,40.10%,22,605860,
EVANS,241790,39,70.60%,48,342237,
PETERSON,237333,40,86.30%,63,275041,
MORRIS,236684,41,75.90%,56,311754,
COLLINS,234953,42,73.90%,52,317848,
MITCHELL,233504,43,63.60%,44,367433,
PARKER,231803,44,71.50%,51,324246,
ROGERS,229046,45,77.80%,61,294403,
STEWART,224599,46,71.80%,54,312899,
TURNER,223787,47,66.70%,49,335663,
WOOD,222717,48,90.10%,75,247299,
CARTER,219378,49,60.50%,46,362548,
MORGAN,216891,50,78.50%,62,276400,
COX,214386,51,84.50%,72,253771,
KELLY,209324,52,80.40%,69,260385,
EDWARDS,206603,53,65.20%,53,317070,
BAILEY,198825,54,74.80%,66,265916,
WARD,197681,55,77.80%,71,254121,
REED,196597,56,73.50%,65,267443,
MYERS,194675,57,86.60%,85,224824,
SULLIVAN,192890,58,89.50%,92,215640,
COOPER,190040,59,70.40%,64,270097,
BENNETT,188853,60,79.00%,78,239055,
HUGHES,184888,61,80.60%,83,229390,
LONG,184047,62,82.30%,86,223494,
FISHER,177875,63,84.60%,100,210279,
PRICE,174106,64,76.10%,84,228756,
RUSSELL,171161,65,79.50%,93,215432,
HOWARD,170269,66,66.80%,70,254779,
GRAY,168374,67,71.10%,79,236713,
BELL,168303,68,63.60%,67,264752,
WATSON,166260,69,68.60%,76,242432,
REYNOLDS,162894,70,83.30%,106,195598,
FOSTER,159149,71,72.00%,87,221040,
ROSS,157184,72,71.50%,89,219961,
OLSON,157011,73,96.00%,136,163502,
RICHARDSON,155334,74,62.20%,74,249533,
SNYDER,151984,75,95.40%,144,159363,
POWELL,151500,76,70.00%,91,216553,
STEVENS,151302,77,83.40%,122,181417,
BROOKS,150999,78,62.70%,77,240751,
PERRY,150361,79,70.70%,97,212644,
WEST,146418,80,77.70%,115,188464,
COLE,145709,81,77.60%,116,187793,
WAGNER,145199,82,94.00%,152,154516,
MEYER,143782,83,96.10%,163,149664,
KENNEDY,142406,84,83.00%,130,171636,
BARNES,141932,85,67.40%,99,210426,
HAMILTON,141454,86,72.80%,107,194331,
GRAHAM,141364,87,72.80%,108,194074,
SCHMIDT,140441,88,96.50%,171,145565,
SANDERS,140140,89,63.40%,88,220902,
MCDONALD,139449,90,79.20%,127,176094,
PATTERSON,139169,91,70.10%,104,198557,
MURRAY,138431,92,77.60%,123,178414,
GIBSON,137522,93,74.60%,119,184420,
WALLACE,136889,94,71.80%,113,190760,
BUTLER,136544,95,64.70%,98,210879,
HAYES,134306,96,71.60%,117,187473,
BURNS,133257,97,82.20%,141,162153,
ELLIS,132484,98,72.80%,121,181934,
